user_input,reference_contexts,reference,synthesizer_name
"Could you elaborate on the restrictions and eligibility criteria associated with Title IV programs, particularly in relation to Direct PLUS Loans for parents and students?","['information, see the discussion under <Direct Subsidized Loans and Direct Unsubsidized Loans= in DCL GEN-11-07. Direct Unsubsidized Loans for Students Whose Parents Have Ended Financial Support or Refuse To File a FAFSA Form If you verify that the parents of a dependent undergraduate student have refused to complete the parental information sections of the Free Application for Federal Student Aid (FAFSA) form or that they have ended financial support for the student, you may make a professional judgment decision to offer the student a Direct Unsubsidized Loan in an amount up to the applicable annual loan limit for a dependent undergraduate. For instance, under these circumstances a dependent second-year undergraduate could receive up to $6,500 in Direct Unsubsidized Loan funds (see Chapter 4 of this volume for information on annual loan limits). However, the student may not receive Direct Subsidized Loans or aid from any of the other Title IV programs. Self-certification from the dependent student is not sufficient to verify that the parents have ended financial support or have refused to complete the FAFSA form. In most cases, this requirement can be met by obtaining a signed and dated statement from one of the student9s parents. For more information, see the discussion under <Dependent students without parent support= in the <Professional Judgment= section of Chapter 5 of the Application and Verification Guide. Direct PLUS Loans Direct PLUS Loans are available to graduate and professional students, and to the parents of dependent undergraduate students. A parent may receive a Direct PLUS Loan only to pay for the education costs of a dependent undergraduate student who meets the eligible student definition. A parent borrower must meet the same citizenship and residency requirements as a student. Similarly, a parent who is in default on a Title IV loan, or who owes an overpayment on a Title IV grant, is ineligible for a Direct PLUS Loan unless they have made satisfactory arrangements to repay the loan or grant. A parent who had a prior Title IV loan discharged for total and permanent disability must meet the same eligibility requirements outlined for student borrowers in Volume 1, Chapter 3. Finally, a parent is not eligible for a Direct PLUS Loan if the federal government holds a judgment lien on their property or if the parent is incarcerated. Note, however, that a parent9s ineligibility for a Direct PLUS Loan does not affect the student9s eligibility for other Title IV aid, assuming that the student is otherwise eligible. Requirement To Offer Direct PLUS Loans to Both Student and Parent Borrowers Schools may choose whether to offer Direct PLUS Loans. If your school chooses to participate in the Direct PLUS Loan Program and has both undergraduate and graduate or professional students, you must make Direct PLUS Loans available to both the parents of dependent undergraduate students and to graduate or professional students. You may not limit Direct PLUS Loan borrowing only to parents or only to graduate or professional students. For more information, see the discussion under <Direct PLUS Loans= in DCL GEN-11-07.']","A parent may receive a Direct PLUS Loan only to pay for the education costs of a dependent undergraduate student who meets the eligible student definition. A parent borrower must meet the same citizenship and residency requirements as a student. Similarly, a parent who is in default on a Title IV loan, or who owes an overpayment on a Title IV grant, is ineligible for a Direct PLUS Loan unless they have made satisfactory arrangements to repay the loan or grant. A parent who had a prior Title IV loan discharged for total and permanent disability must meet the same eligibility requirements outlined for student borrowers. Additionally, a parent is not eligible for a Direct PLUS Loan if the federal government holds a judgment lien on their property or if the parent is incarcerated. However, a parent's ineligibility for a Direct PLUS Loan does not affect the student's eligibility for other Title IV aid, assuming that the student is otherwise eligible.",single_hop_specifc_query_synthesizer
Who is eligibul to borrow a Direct PLUS Loan for a dependent undergraduate student?,"['Definition of <Parent= for Direct PLUS Loan Purposes If they meet all other Direct PLUS Loan eligibility requirements, the following individuals can borrow Direct PLUS Loans on behalf of a dependent undergraduate student: The student9s biological parent; The student9s legal adoptive parent; or The student9s stepparent (spouse of the student9s biological or legal adoptive parent at the time of application), but only if the stepparent is required to provide their information on the FAFSA form in accordance with the instructions on the FAFSA form. Grandparents and other family members are not eligible to take out Direct PLUS Loans on behalf of a dependent undergraduate student unless they have legally adopted the student. In addition to the parent(s) whose resources are reported on a student9s FAFSA form, any otherwise eligible biological or legal adoptive parent of the dependent undergraduate student can also take out a Direct PLUS Loan on the student9s behalf, even if that parent9s information is not reported on the FAFSA form. Note also that more than one parent can take out a Direct PLUS Loan on behalf of the same dependent undergraduate']","The following individuals can borrow Direct PLUS Loans on behalf of a dependent undergraduate student: the student's biological parent, the student's legal adoptive parent, or the student's stepparent, but only if the stepparent is required to provide their information on the FAFSA form. Grandparents and other family members are not eligible unless they have legally adopted the student. Additionally, any otherwise eligible biological or legal adoptive parent can take out a Direct PLUS Loan, even if their information is not reported on the FAFSA form.",single_hop_specifc_query_synthesizer
Wht is DCL GEN-16-10?,"['Direct Loan Eligibility After an Enrollment Status Change If a student who received a disbursement of Direct Loan funds prior to the first day of classes of a payment period begins attendance on a less-than-half-time basis, there is no requirement for the school or the student to return the loan funds as long as: The student began attendance in at least one course during the payment period; and At the time of the loan disbursement the student was enrolled (registered) for classes on at least a half-time basis. However, the school must not make any subsequent disbursements of the loan unless the student resumes enrollment on at least a half-time basis during the payment period. A student who is no longer enrolled at least half time may not receive as a late disbursement any second or subsequent disbursement of the loan. Note that different requirements apply if a student who received a Direct Loan disbursement prior to the first day of classes fails to begin attendance in any classes. See <When A Student Fails to Begin Attendance= in Volume 4, Chapter 3. If a student does not withdraw but ceases to be enrolled on at least a half-time basis, a school may make a late disbursement of a Direct Loan for costs incurred by the student for a period in which the student was eligible. However, this does not apply if the student dropped all future classes or modules, because the student never began classes as a half-time student. Title IV program funds (including Direct Loans) are disbursed to a student on the presumption that the student will attend the hours for which aid has been awarded. Therefore, a school is not required to delay the disbursement of a Direct Loan until a student has begun attendance in enough hours to establish half-time enrollment status. However, if a school has not yet made a Direct Loan disbursement to a student who has dropped classes, and the school determines that the student never began attendance in enough classes to establish half-time enrollment status, the school may not make a first disbursement of a Direct Loan to that student. Likewise, if a student who was enrolled in a series of modules drops all future classes before beginning attendance in enough modules to establish half-time enrollment status, the school may not make a first disbursement of a Direct Loan because the student never began attendance on at least a half-time basis. If a student who dropped to less-than-half-time status resumes enrollment on a half-time basis during the payment period or period of enrollment, the school may make remaining disbursements of a Direct Loan if the school documents (1) the student9s revised COA, and (2) that the student continues to qualify for the entire amount of the loan, despite any reduction in the student9s COA caused by the temporary cessation of enrollment on at least a half-time basis. DCL GEN-16-10 Late Disbursements for Students Who Cease To Be Enrolled at Least Half Time 34 CFR 668.164(j)(3)(iii)']","DCL GEN-16-10 refers to the guidelines for late disbursements of Direct Loans for students who cease to be enrolled at least half time, as outlined in 34 CFR 668.164(j)(3)(iii).",single_hop_specifc_query_synthesizer
"So like, what all them counseling things you gotta do for Direct Loan, especially if you got bad credit or something?","['Chapter 2 Direct Loan Counseling Counseling Overview First-time student borrowers must complete entrance counseling before they can receive the first disbursement of a Direct Loan, and all student Direct Loan borrowers must complete exit counseling shortly before they cease to be enrolled on at least a half-time basis. There is a special counseling requirement for student and parent Direct PLUS Loan borrowers who meet the requirements to receive a Direct PLUS Loan after having been determined to have an adverse credit history. This chapter discusses the counseling requirements for Direct Loan borrowers and associated school responsibilities.']","First-time student borrowers must complete entrance counseling before they can receive the first disbursement of a Direct Loan, and all student Direct Loan borrowers must complete exit counseling shortly before they cease to be enrolled on at least a half-time basis. There is a special counseling requirement for student and parent Direct PLUS Loan borrowers who meet the requirements to receive a Direct PLUS Loan after having been determined to have an adverse credit history.",single_hop_specifc_query_synthesizer
"How does the absence of alternate SAIs affect Direct Loan origination for periods shorter than nine months, and what are the implications for Direct PLUS Loans?","['<1-hop>\n\nCOA (see Volume 3, Chapter 3); For parents receiving a Direct PLUS Loan, ensure that the student has completed a FAFSA form (review the student9s ISIR or FAFSA Submission Summary); and Ensure that the loan disbursement dates meet cash management and disbursement requirements. For a Direct Subsidized/Unsubsidized Loan, you must also: Determine the student9s Pell Grant eligibility and, if they are eligible, include the grant in the student9s aid package; For a Direct Unsubsidized Loan made to an undergraduate student, first determine the student9s eligibility for a Direct Subsidized Loan and, if the student is eligible, include the Direct Subsidized Loan in the student9s aid package; Ensure that the amount of the loan will not exceed the student9s annual or aggregate loan limits; and Prorate the annual loan limit for an undergraduate enrolled in a program or remaining period of study that is shorter than an academic year (as described in Chapter 5 of this volume).', '<2-hop>\n\nNo Alternate SAI When Originating Loans for Periods Other Than Nine Months If you originate a Direct Loan for a period shorter than a full academic year (for example, a loan for a single term or for a program shorter than an academic year), the loan amount must be based on the reduced costs for that shorter period of enrollment rather than the costs for the full academic year. However, as explained in Volume 3, Chapter 3, there are no alternate SAIs for periods of enrollment other than nine months comparable to the alternate EFCs for periods other than nine months that were used prior to the 2024-2025 award year. In all cases you must use the student9s full calculated 9- month SAI in the formula to determine financial need for Direct Subsidized Loans and other need-based aid even though the COA will reflect the reduced costs for the shorter loan period. This means that students enrolled for periods shorter than nine months will have less financial need than would have been the case in the past when using a smaller alternate EFC, because now the full calculated SAI must be subtracted from the reduced COA for the shorter period of enrollment when determining financial need for purposes of Direct Subsidized Loan eligibility. Volume 8, Chapter 3, Example 1: Effect of No Alternate SAI on Financial Need When Originating Loans for Periods Less Than Nine Months A first-year dependent student has a COA of $10,800 for an academic year consisting of the fall and spring semesters and an SAI of 8,000, so the student9s financial need for the fall-spring enrollment period is $2,800 (see Volume 3, Chapter 3 for guidance on determining financial need). The student is not eligible for a Pell Grant and receives no Title IV aid except for Direct Loans. The student qualifies for a $2,800 Direct Subsidized Loan to fully cover their financial need. (The student could also receive a Direct Unsubsidized Loan, but for purposes of this example we cover only Direct Subsidized Loan eligibility.) The student will also be enrolled for the summer term, which the school treats as a <trailer= to the preceding fall- spring Scheduled Academic Year (SAY) for purposes of monitoring annual loan limits (see Chapter 6 of this Volume). The summer term is four months in length and the COA for that term is $4,000. For students who attend the summer term and request Direct Loan funds, the school9s normal practice is to originate a separate loan for the summer term only. Because there is no alternate SAI for periods of enrollment less than nine months and the student9s SAI of 8,000 is greater than the summer term COA, the student has no financial need for summer and is therefore ineligible to receive a Direct Subsidized Loan for that term (but could receive a Direct Unsubsidized Loan). As an alternative to originating a separate summer-only loan, the school could choose to originate a single loan for a loan period covering the fall-spring SAY plus the summer trailer term. The student9s COA for that period of enrollment is $14,800. Subtracting the student9s SAI of 8,000 from the COA results in financial need of $6,800. The student would therefore be eligible to receive a $3,500 Direct Subsidized Loan (the maximum subsidized annual loan limit for a dependent first-year student) for the fall-spring-summer loan period.']","The absence of alternate SAIs for periods shorter than nine months means that the full calculated 9-month SAI must be used to determine financial need, even though the COA is reduced for the shorter period. This results in less financial need being calculated for students enrolled for shorter periods, as the full SAI is subtracted from the reduced COA. For Direct PLUS Loans, it is essential to ensure that the student has completed a FAFSA form and that the loan disbursement dates meet cash management and disbursement requirements. The implications for Direct PLUS Loans are that the financial need calculation may affect the overall aid package, but the primary focus remains on ensuring compliance with federal regulations and proper loan origination processes.",multi_hop_abstract_query_synthesizer
How do student loan eligibility and minimum loan periods interact when a student is ineligible for a term within a fall-winter-spring academic year?,"['<1-hop>\n\nperiod are separated by one or more terms in which the student is ineligible. For example, if a student is expected to be enrolled on at least a half-time basis in the fall and spring quarters of an academic year consisting of the fall, winter, and spring quarters, but the student indicates that they do not plan to attend the winter quarter (or that they plan to be enrolled on a less than half-time basis during that quarter), the school may still originate a loan for a loan period covering the fall, winter, and spring quarters. Of course, no costs associated with winter quarter may be included in the student9s COA when determining the loan amount the student is eligible to receive for the fall and spring quarters. Similarly, if a school initially originates a loan for a fall-winter-spring loan period based on a student9s anticipated enrollment status of at least half time during all three quarters, but the student subsequently does not attend the winter quarter or temporarily drops below half-time status for that term, and then resumes at least half-time enrollment in the spring, the school is not required to make any changes to the original fall-winter-spring loan period. However, it may be necessary for the school to adjust the originally approved loan amount if that amount is no longer supported by the reduced costs for the fall and spring quarters only. In the first scenario described above the school could also choose to originate two separate loans for fall-only and spring- only loan periods. In the second scenario the school would also have the option of adjusting the original fall-winter-spring loan period to fall-only, and then originating a new spring-only loan. Note, however, that in both cases the school would then be required to separately subtract the student9s full SAI from the fall-only and spring-only costs when determining the student9s Direct Subsidized Loan eligibility for those terms (see <No Alternate SAI When Originating Loans for Periods Other Than Nine Months= earlier in this chapter). In some cases this could significantly reduce or even eliminate a student9s need for Direct Subsidized Loans. In contrast, using a fall-winter-spring loan period (excluding all costs associated with the winter quarter) would allow the school to subtract the full SAI from the higher combined costs for the fall and spring terms, partially mitigating the effect of not having alternate SAIs for periods of enrollment other than nine months. The limited exception described above applies only if a student is eligible to receive a Direct Loan during the first and last terms within the loan period. The term in which the student is ineligible cannot be the first or last term in the loan period. For instance, a school may not originate a loan for a fall-winter-spring loan period if the student does not attend the fall term or the spring term. Note: See the guidance at the end of this chapter for certain exceptions to the normal loan period rules that apply when periods of clinical work are included in a standard term.', '<2-hop>\n\nMinimum Loan Periods The minimum period for which a school may originate a Direct Loan varies depending on the school9s academic calendar. As explained below and in Chapter 7, different rules apply for purposes of determining the minimum loan period for a Direct Loan and the type of academic year that a school may use to monitor Direct Loan annual loan limits depending on whether a program is term-based (including subscription-based programs; see Volume 3, Chapter 1) with either standard or nonstandard terms, or is a non-term program (all clock-hour programs are treated as non-term programs), and in the case of a term-based program with nonstandard terms, depending on the type of nonstandard term, as described below. Nonstandard terms may be one of the following types: 1. Nonstandard terms that are substantially equal (no term in the academic year differs in length from any other term by more than two weeks), and each of the terms is at least nine weeks in length. SE9W Period of Enrollment (Loan Period) Definition 34 CFR 685.102(b)']","When a student is ineligible for a term within a fall-winter-spring academic year, the school may still originate a loan for the entire period, excluding costs associated with the ineligible term. The student must be eligible to receive a Direct Loan during the first and last terms within the loan period. The minimum loan period for originating a Direct Loan depends on the school's academic calendar and whether the program is term-based or non-term. For term-based programs with nonstandard terms, the terms must be substantially equal and at least nine weeks in length. If a student does not attend the winter quarter or drops below half-time status, the school may need to adjust the loan amount based on reduced costs for the eligible terms. However, the school cannot originate a loan if the student is ineligible for the first or last term of the loan period.",multi_hop_abstract_query_synthesizer
"What happens to the loan limits for a student who transfers from a graduate program to an undergraduate program during the same academic year, especially for dependent undergraduates?","['<1-hop>\n\nNote that for dependent undergraduates, the annual loan limits shown above in Tables 2A and 2B do not provide an additional unsubsidized loan amount beyond the maximum annual subsidized amount, as is the case with the loan limits for independent undergraduates and dependent undergraduates whose parents cannot get Direct PLUS Loans. For dependent undergraduates enrolled in preparatory coursework or teacher certification programs, there is just a single annual loan limit representing the maximum amount of subsidized and/or unsubsidized loans that the student may receive for an academic year. For example, a dependent undergraduate taking preparatory coursework required for enrollment in a graduate or professional program could receive up to $5,500 per academic year in Direct Loan funds, which could be all subsidized, all unsubsidized, or a combination of subsidized and unsubsidized. In contrast, an independent undergraduate taking the same preparatory coursework could receive up to $12,500 per academic year, not more than $5,500 of which could be subsidized. Loan limits for preparatory coursework and teacher certification coursework are not subject to proration (see Chapter 5 of this volume) if the coursework is less than a full academic year. Combined Undergraduate and Graduate Programs Some programs combine undergraduate and graduate study and allow a student to complete both a bachelor\'s degree and a graduate or professional degree within the same program. These are referred to as ""dual degree programs."" For instance, a school could offer a 5-year dual degree program leading to both a bachelor\'s degree and a graduate or professional degree and could define the first three or four years of study as being at the undergraduate level, and the remaining year(s) of study as being at the graduate or professional level. A student may receive Direct Loans at the applicable undergraduate annual loan limits (as well as other Title IV aid at the undergraduate level) during the undergraduate portion of such a program, and then may receive Direct Loans at the graduate and professional student annual loan limit (and also Direct PLUS Loans) for the graduate and professional portion of the program. See Volume 1 for more detailed guidance on student eligibility for Title IV aid in programs that combine undergraduate and graduate study, including programs that lead only to a graduate or professional degree, but admit students who do not yet meet the regulatory requirements to be considered graduate or professional degree students. Students Returning for a Second Baccalaureate Degree If a student with a baccalaureate degree enrolls in another baccalaureate program, the student9s grade level for loan limit purposes would be based on the amount of work that the school counts toward satisfying the requirements of the new program. For instance, if your school accepts 30 semester hours of a student9s work in a previous baccalaureate program toward the requirements for a BS in Chemistry at your school and, on that basis, classifies the student at the second-year level, then the student would be eligible for second-year undergraduate loan limits (see <Loan Limit When a Baccalaureate or Associate Degree Is Required for Admission to an Undergraduate Program= earlier in this chapter for the loan limit that applies when a student is required to have a prior associate or baccalaureate degree as a condition for being admitted to an undergraduate program).', '<2-hop>\n\nStudents Who Transfer From a Graduate Program to an Undergraduate Program During an Academic Year If a student transfers from a graduate program to an undergraduate program in the middle of an academic year, the undergraduate annual loan limit for the student9s grade level applies but amounts previously borrowed at the graduate level within the same academic year do not count against the undergraduate annual loan limit. However, the total amount awarded for the academic year may not exceed the higher (graduate or professional) annual loan limit. Volume 8, Chapter 4, Example 1: Transfer From a Graduate to Undergraduate Program During the Same Academic Year A student who received $10,250 in Direct Unsubsidized Loan funds for a fall semester loan as a graduate student enrolls in an undergraduate program at the same school in the spring semester of the school9s fall-spring academic year and is classified as a third-year independent undergraduate. As a third-year independent undergraduate, the student9s annual loan limit is $12,500, not more than $5,500 of which may be subsidized.']","When a student transfers from a graduate program to an undergraduate program during the same academic year, the undergraduate annual loan limit for the student's grade level applies. However, amounts previously borrowed at the graduate level within the same academic year do not count against the undergraduate annual loan limit. For dependent undergraduates, the annual loan limits do not provide an additional unsubsidized loan amount beyond the maximum annual subsidized amount, unlike independent undergraduates. Therefore, the total amount awarded for the academic year may not exceed the higher (graduate or professional) annual loan limit.",multi_hop_abstract_query_synthesizer
How do Direct Loan payment periods differ for SE9W and non-SE9W nonstandard terms?,"['<1-hop>\n\n2. Nonstandard terms that are substantially equal, but one or more of the terms in the academic year contains fewer than nine weeks. Non- SE9W 3. Nonstandard terms that are not substantially equal in length (one or more of the terms in the academic year differs in length from another term by more than two weeks). Non- SE9W We refer to the first type of nonstandard term as <SE9W= nonstandard terms. We group the second and third types together and refer to them as <non-SE9W= nonstandard terms. Programs with SE9W nonstandard terms are treated the same as standard-term programs for purposes of determining minimum loan period length and monitoring annual loan limits. However, programs with non-SE9W nonstandard terms are treated the same as non-term programs for these purposes. Note that substantially equal nonstandard terms (the first two types of nonstandard terms described above) are treated differently for purposes of determining Direct Loan payment periods than for determining minimum loan period length and monitoring annual loan limits. As explained in Volume 1, Chapter 1, if a program is offered in standard terms or in nonstandard terms that are substantially equal in length (regardless of the length of the nonstandard term), the payment period is the term. However, for purposes of determining the minimum loan period for a Direct Loan and monitoring Direct Loan annual loan limits, substantially equal nonstandard terms that contain fewer than nine weeks are treated the same as nonstandard terms that are not substantially equal. This means that if a program has substantially equal nonstandard terms that are less than nine weeks in length, you must make a Direct Loan disbursement each term (the same as would be the case if the program were offered in standard terms), but the minimum loan period and the type of academic year used to monitor Direct Loan annual loan limits must be determined in accordance with the rules that apply to non-term programs. For detailed information on standard term, nonstandard term, and non-term programs, see Volume 1, Chapter 1. Minimum Loan Period: Standard Term and SE9W Nonstandard Term Programs For credit-hour programs with standard terms (semesters, quarters, or trimesters), or with SE9W nonstandard terms, the minimum loan period is a single academic term. For example, if a student will be enrolled in the fall semester only and will skip the spring semester, you may originate a loan with a loan period that covers only the fall term. Minimum Loan Period: Clock-Hour, Non-Term, and Non-SE9W Nonstandard Term Programs For all other programs (i.e., clock-hour, non-term, and non-SE9W nonstandard term programs), the minimum loan period is generally the lesser of the program length (or remainder of the program, if there is less than full academic year remaining) or the academic year. There are exceptions to this minimum loan period rule when originating loans for transfer students, or for students who complete or otherwise cease enrollment in one program and then begin a different program at the same school. We discuss these exceptions in detail in Chapter 7 of this volume.', '<2-hop>\n\nMinimum Loan Period: Programs Offered in Modules If a program is offered in modules, this does not change the minimum loan period rules for Direct Loans. For example, if a standard or SE9W nonstandard term is divided into two or more modules, the minimum loan period for a Direct Loan is still the term, even if the student does not attend all modules within the term. Similarly, if a clock-hour, non-term credit- Minimum Loan Period 34 CFR 685.301(a)(10)(i)']","For SE9W nonstandard terms, Direct Loan payment periods are treated the same as standard-term programs, meaning a Direct Loan disbursement is made each term. However, for non-SE9W nonstandard terms, the payment periods are treated the same as non-term programs, requiring adherence to rules applicable to non-term programs for determining minimum loan periods and monitoring annual loan limits.",multi_hop_abstract_query_synthesizer
"What are the procedures for handling Direct PLUS Loan funds if a parent borrower dies, and how does entrance counseling play a role in this process?","['<1-hop>\n\nEntrance Counseling Entrance counseling is required for all first-time student Direct Subsidized Loan, Direct Unsubsidized Loan, and student Direct PLUS Loan borrowers. Entrance counseling is not required for parent Direct PLUS Loan borrowers. For this purpose, a first-time Direct Subsidized Loan or Direct Unsubsidized Loan borrower is someone who has not received a prior Direct Subsidized Loan, Direct Unsubsidized Loan, Subsidized Federal Stafford Loan, Unsubsidized Federal Stafford Loan, or Federal Supplemental Loans for Students (SLS) Loan. In the case of a graduate or professional student who requests a Direct PLUS Loan, a first-time Direct PLUS Loan borrower is someone who has not received a prior student Direct PLUS Loan or student Federal PLUS Loan. Subsidized and Unsubsidized Federal Stafford Loans, Federal SLS Loans, and Federal PLUS Loans are loan types that were made under the Federal Family Education Loan (FFEL) Program before the authority to make new FFEL Program loans ended effective July 1, 2010. Before making the first disbursement of a Direct Subsidized Loan, Direct Unsubsidized Loan, or student Direct PLUS Loan to a first-time borrower, you must ensure that the student receives entrance counseling. Entrance counseling provides borrowers with comprehensive information on the terms and conditions of the loan they are about to receive, and their responsibility to repay the loan. This information may be provided during an in-person counseling session, on a separate written form that the borrower signs and returns to the school, or online or by interactive electronic means, with the borrower acknowledging receipt of the information. If entrance counseling is conducted online or through interactive electronic means, your school must take reasonable steps to ensure that students finish the counseling, which may include completing a test of their understanding of the terms and conditions of the loan. If a standardized, interactive electronic tool is used for counseling, you must give the borrower any required information that is not addressed in the tool either in person or in a separate written or electronic document. Your school must have someone with expertise in the Title IV programs reasonably available shortly after the counseling to answer students9 questions. As an alternative, if students are enrolled in an approved correspondence, distance education, or study-abroad program, they may be provided with written counseling materials before the loan is disbursed. You may not require students to complete additional counseling beyond entrance counseling. However, your entrance counseling policy can require more than the minimum specified by the regulations as long as the additional requirements are reasonable as to time, effort, and relevance to the students9 borrowing and are not administered in a way that unreasonably impedes students9 ability to receive Direct Loans in a timely manner. For example, your entrance counseling can include one or more of the following: Extra information as part of in-person individual or group training or through your website, other electronic means, written materials, or different methods; A requirement for first-time student borrowers to take a test or evaluation of what they learned in counseling (though you cannot establish a passing score that they must achieve to get a Direct Loan); A requirement for students to complete a worksheet, budget, or other exercise designed to improve financial literacy and understanding of the implications of borrowing (but you cannot require them to justify the need for a loan); or A requirement for students to participate in a workshop, loan orientation presentation, or similar activity.', '<2-hop>\n\nmay not notify the school or the loan servicer right away, particularly if the parent borrower had requested a deferment of payments while the student was enrolled at least half time. If a school is required to return Direct PLUS Loan funds that were disbursed after the date of the parent borrower9s death, the school should determine whether there is a surviving parent who can take out a Direct PLUS Loan for the amount of the original Direct PLUS loan that must be returned. If this is not an option, the school may award additional Direct Unsubsidized Loan funds (up to the amounts normally available only to independent undergraduates) to the dependent student (see <Annual Loan Limits for Independent Undergraduates and Certain Dependent Undergraduates= in Chapter 4 of this volume). In this specific circumstance, a school may originate a Direct PLUS Loan for a surviving parent or originate a Direct Unsubsidized Loan for the dependent student even if the loan period has ended. For additional guidance on other actions that a school must take when a Title IV aid recipient dies, see Appendix B of the FSA Handbook.']","If a parent borrower of a Direct PLUS Loan dies, the school must determine if there is a surviving parent who can take out a Direct PLUS Loan for the amount that must be returned. If this is not possible, the school may award additional Direct Unsubsidized Loan funds to the dependent student. Entrance counseling is required for all first-time student Direct PLUS Loan borrowers, providing them with comprehensive information on the terms and conditions of the loan and their responsibility to repay it. This counseling ensures that borrowers understand their obligations, which is crucial in situations where loan adjustments are necessary due to unforeseen circumstances such as the death of a parent borrower.",multi_hop_specific_query_synthesizer
What are the counseling requirements for Direct PLUS Loan borrowers with adverse credit history?,"['<1-hop>\n\nMinimum Loan Period: Programs Offered in Modules If a program is offered in modules, this does not change the minimum loan period rules for Direct Loans. For example, if a standard or SE9W nonstandard term is divided into two or more modules, the minimum loan period for a Direct Loan is still the term, even if the student does not attend all modules within the term. Similarly, if a clock-hour, non-term credit- Minimum Loan Period 34 CFR 685.301(a)(10)(i)', '<2-hop>\n\nChapter 2 Direct Loan Counseling Counseling Overview First-time student borrowers must complete entrance counseling before they can receive the first disbursement of a Direct Loan, and all student Direct Loan borrowers must complete exit counseling shortly before they cease to be enrolled on at least a half-time basis. There is a special counseling requirement for student and parent Direct PLUS Loan borrowers who meet the requirements to receive a Direct PLUS Loan after having been determined to have an adverse credit history. This chapter discusses the counseling requirements for Direct Loan borrowers and associated school responsibilities.']","Direct PLUS Loan borrowers who have been determined to have an adverse credit history must meet special counseling requirements. This is part of the broader counseling requirements for Direct Loan borrowers, which include entrance counseling for first-time student borrowers and exit counseling for all student Direct Loan borrowers before they cease to be enrolled at least half-time.",multi_hop_specific_query_synthesizer
